Epoch	Training Loss	Validation Loss
1081	0.8190	0.6933
1082	0.8189	0.6932
1083	0.8188	0.6930
1084	0.8187	0.6929
1085	0.8186	0.6928
1086	0.8185	0.6927
1087	0.8184	0.6926
1088	0.8183	0.6924
1089	0.8182	0.6923
1090	0.8181	0.6922
1091	0.8180	0.6921
1092	0.8179	0.6919
1093	0.8178	0.6918
1094	0.8177	0.6917
1095	0.8176	0.6916
1096	0.8175	0.6915
1097	0.8174	0.6913
1098	0.8173	0.6912
1099	0.8172	0.6911
1100	0.8171	0.6910
1101	0.8170	0.6909
1102	0.8169	0.6907
1103	0.8168	0.6906
1104	0.8167	0.6905
1105	0.8166	0.6904
1106	0.8165	0.6903
1107	0.8164	0.6901
1108	0.8163	0.6900
1109	0.8162	0.6899
1110	0.8161	0.6898
1111	0.8160	0.6896
1112	0.8159	0.6895
1113	0.8158	0.6894
1114	0.8157	0.6893
1115	0.8156	0.6892
1116	0.8155	0.6890
1117	0.8154	0.6889
1118	0.8153	0.6888
1119	0.8152	0.6887
1120	0.8151	0.6886
1121	0.8150	0.6884
1122	0.8149	0.6883
1123	0.8148	0.6882
1124	0.8147	0.6881
1125	0.8146	0.6880
1126	0.8145	0.6878
1127	0.8144	0.6877
1128	0.8143	0.6876
1129	0.8142	0.6875
1130	0.8141	0.6874
1131	0.8140	0.6872
1132	0.8139	0.6871
1133	0.8138	0.6870
1134	0.8137	0.6869
1135	0.8137	0.6868
1136	0.8136	0.6866
1137	0.8135	0.6865
1138	0.8134	0.6864
1139	0.8133	0.6863
1140	0.8132	0.6862
1141	0.8131	0.6860
1142	0.8130	0.6859
1143	0.8129	0.6858
1144	0.8128	0.6857
1145	0.8127	0.6856
1146	0.8126	0.6854
